"duration","response_date","responseid","consent_1","consent_2","consent_3","failed_vpn_1","failed_vpn_2","failed_vpn_3","tutorial_slider_ck","tutorial_age_ck","tutorial_occ_ck","tutorial_resource_ck","attention_ck_midsurvey","importance_age","importance_race","importance_nchildren","importance_political","importance_criminal","importance_health","importance_occupation","importance_upbrinding","decision_style","decision_style_text","demog_age","demog_race","demog_race_text","demog_education","demog_work","demog_work_text","demog_political","demog_strong_dem","demog_strong_rep","demog_party_closeness","demog_liberal_conserv","demog_strong_lib","demog_strong_cons","demog_closer_lib","feedback","embeddedCode"
234,"2020-10-26 08:38:37","R_3fxHT3EvI8xzq4c","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Moderately Important","Not at all important","Not at all important","Slightly important","Moderately Important","Slightly important","Moderately Important","Slightly important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",26,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",41.6697001654351
363,"2020-10-26 08:41:19","R_xmSAJYT2hOUwgI9","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Very Important","Not at all important","Not at all important","Not at all important","Very Important","Low importance","Slightly important","Moderately Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",21,"Caucasian/White (non-Hispanic)","","4-year college degree","I am a full time student","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",40.7174373496597
355,"2020-10-26 08:41:21","R_5tJoXgWecggBH3P","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Extremely Important","Very Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","Extremely Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",35,"Asian/Pacific Islanders,Caucasian/White (non-Hispanic)","","2-year college degree","I am a full time student","","Democrat","Strong","","","Conservative","","Strong conservative","","good",12.034872101628
961,"2020-10-26 08:55:34","R_2U5G85F3bB0tnpt","Yes","Yes","Yes",NA,NA,NA,82,70,"Person B","a job","Mental or Physical Health Issues","Moderately Important","Not at all important","Slightly important","Not at all important","Not at all important","Not at all important","Extremely Important","Low importance","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",55,"Caucasian/White (non-Hispanic),Native American or Aleut","","4-year college degree","I work full time","","Independent","","","Closer to the Republican Party","Moderate","","","Closer to conservatives","I have found that conservatives don't judge and stir up hatred for people based on color, or beliefs like Democrats do so I have recently #walkaway from the Democrat party after voting for Clintons and Obama, just to much corruption on the left.",55.512108641563
523,"2020-10-26 09:16:14","R_3esorNLVp8QmKvg","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Moderately Important","Low importance","Very Important","Slightly important","Moderately Important","Very Important","Moderately Important","Slightly important","I used both (1) and (2)","",21,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",54.0246026751177
440,"2020-10-26 09:32:35","R_3G0v0piYYfDHEpf","Yes","Yes","Yes",NA,NA,NA,66,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Extremely Important","Neutral","Extremely Important","Neutral","Moderately Important","Neutral","Moderately Important","Neutral","I compared the two persons attribute by attribute","",69,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Republican","","Strong","","Conservative","","Strong conservative","","none. thanks!",14.51041206287
392,"2020-10-26 09:33:41","R_1hR2lIgibbDdteo","Yes","Yes","Yes",NA,NA,NA,70,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Low importance","Not at all important","Not at all important","Extremely Important","Very Important","Low importance","Not at all important","I compared the two persons attribute by attribute","",29,"Caucasian/White (non-Hispanic)","","High school graduate","I work full time","","Republican","","Not strong","","Liberal","Not very strong liberal","","","",56.1133073561623
628,"2020-10-26 09:44:21","R_3m8HKSVIIilQUvz","Yes","Yes","Yes",NA,NA,NA,100,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Not at all important","Extremely Important","Not at all important","Slightly important","Moderately Important","Not at all important","Not at all important","I compared the two persons attribute by attribute","",39,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I am unemployed","","Democrat","Strong","","","Liberal","Strong liberal","","","Thank you.",37.1872202347003
737,"2020-10-26 10:04:11","R_1Q6oO14eKJQ7TbQ","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Extremely Important","Not at all important","Extremely Important","Not at all important","Extremely Important","Extremely Important","Not at all important","Not at all important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",43,"Asian/Pacific Islanders","","4-year college degree","I work full time","","Republican","","Not strong","","Conservative","","Not very strong conservative","","",30.9592865684441
1103,"2020-10-26 10:07:46","R_1i3RQYYvlLBgzWV","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Extremely Important","Not at all important","Extremely Important","Not at all important","Not at all important","Moderately Important","Not at all important","Not at all important","I compared the two persons attribute by attribute","",33,"Latino or Hispanic","","4-year college degree","I work full time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",42.4625529671234
466,"2020-10-26 10:10:57","R_1eV5c8Kp8pveIo9","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Extremely Important","Not at all important","Very Important","Not at all important","Moderately Important","Neutral","Moderately Important","Low importance","I compared the two persons attribute by attribute","",35,"Latino or Hispanic","","4-year college degree","I work full time","","Republican","","Not strong","","Moderate","","","Closer to conservatives","",18.4197851576423
1417,"2020-10-26 10:27:02","R_1kM59EMWnSe9WBI","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Not at all important","Not at all important","Extremely Important","Not at all important","Very Important","Not at all important","Extremely Important","Not at all important","I used both (1) and (2)","",40,"Caucasian/White (non-Hispanic)","","2-year college degree","I work part time","","Independent","","","Closer to the Democratic Party","Moderate","","","Closer to liberals","",37.6673949755885
467,"2020-10-26 10:36:32","R_2YVdnnLZk2MW5y3","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Not at all important","Extremely Important","Not at all important","Moderately Important","Very Important","Slightly important","Not at all important","I compared the two persons attribute by attribute","",42,"Caucasian/White (non-Hispanic)","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I am a full time student,I work full time","","Republican","","Strong","","Conservative","","Strong conservative","","",40.3560096093817
256,"2020-10-26 10:57:22","R_25GFMjt0HQ6NajY","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Criminal History,National Origin","Very Important","Not at all important","Very Important","Not at all important","Low importance","Very Important","Low importance","Extremely Important","I compared the two persons attribute by attribute","",38,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",53.5620306352065
526,"2020-10-26 11:00:17","R_2BwIpGvJ4Bm19iA","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Slightly important","Not at all important","Low importance","Low importance","Moderately Important","Very Important","Very Important","Slightly important","I compared the two persons attribute by attribute","",34,"Caucasian/White (non-Hispanic)","","2-year college degree","I work full time","","Independent","","","Neither","Liberal","Not very strong liberal","","","",12.3504158382654
568,"2020-10-26 11:04:22","R_2wgHyCX0MvV0dQe","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Neutral","Neutral","Very Important","Low importance","Low importance","Neutral","Moderately Important","Very Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",49,"Caucasian/White (non-Hispanic)","","Did not graduate from high school","I work part time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",41.5833832913971
624,"2020-10-26 11:14:54","R_RELZ1fM3mTpk5X3","Yes","Yes","Yes",NA,NA,NA,100,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Low importance","Very Important","Slightly important","Slightly important","Extremely Important","Moderately Important","Slightly important","I used both (1) and (2)","",45,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Independent","","","Closer to the Republican Party","Conservative","","Not very strong conservative","","Yes, in regards to the attention check....I did not select """"national origin"""" because I don't consider that to be the same thing as race per se.  I found that confusing and want you to know that I paid closed attention to give useful data.  Thanks for the HIT!  I did my best and hope the data is useful!",52.4312049679996
376,"2020-10-26 11:30:43","R_3GkxQMJZTbvtg86","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Slightly important","Low importance","Very Important","Not at all important","Slightly important","Moderately Important","Low importance","Slightly important","I compared the two persons attribute by attribute","",53,"Caucasian/White (non-Hispanic)","","4-year college degree","I work part time","","Democrat","Strong","","","Liberal","Strong liberal","","","",50.5790882263284
357,"2020-10-26 11:42:40","R_2PnHHfVojNyhhp8","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Moderately Important","Extremely Important","Very Important","Moderately Important","Moderately Important","Moderately Important","Very Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",43,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",18.1763612761107
225,"2020-10-26 11:53:36","R_3QEGhE9XzAuCnFG","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Extremely Important","Not at all important","Not at all important","Not at all important","Slightly important","Low importance","Slightly important","Slightly important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",28,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Republican","","Strong","","Conservative","","Strong conservative","","",18.5178897980409
206,"2020-10-26 11:54:56","R_25GbedcP9gs7IFv","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Extremely Important","Not at all important","Low importance","Not at all important","Slightly important","Very Important","Slightly important","Low importance","I compared the two persons attribute by attribute","",49,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",26.9869984663061
201,"2020-10-26 12:03:40","R_2wLhs7E71otPJXo","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Moderately Important","Not at all important","Moderately Important","Low importance","Extremely Important","Moderately Important","Moderately Important","Not at all important","I compared the two persons attribute by attribute","",29,"Caucasian/White (non-Hispanic)","","High school graduate","I work full time","","Republican","","Not strong","","Conservative","","Not very strong conservative","","",19.2336559612848
490,"2020-10-26 12:09:07","R_3oSLKNXefgPCVod","Yes","Yes","Yes",NA,NA,NA,100,70,"Person B","a job","Age,Criminal History","Moderately Important","Low importance","Neutral","Moderately Important","Low importance","Moderately Important","Low importance","Not at all important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",44,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",29.9041119550597
497,"2020-10-26 12:25:33","R_1ClPH8biQoG4Vtn","Yes","Yes","Yes",NA,NA,NA,64,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Moderately Important","Not at all important","Very Important","Not at all important","Extremely Important","Very Important","Moderately Important","Moderately Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",62,"Caucasian/White (non-Hispanic)","","4-year college degree","Prefer not to say","","Republican","","Strong","","Conservative","","Strong conservative","","",29.1230835351448
328,"2020-10-26 12:48:31","R_qycKUu5Wv4vZXSF","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,Location","Neutral","Neutral","Very Important","Very Important","Very Important","Very Important","Moderately Important","Very Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",33,"Latino or Hispanic","","4-year college degree","I work full time","","Democrat","Strong","","","Moderate","","","Neither","",49.9428468984419
1099,"2020-10-26 12:57:09","R_2QxRuQTpDnUxoR8","Yes","Yes","Yes",NA,NA,NA,100,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Extremely Important","Not at all important","Low importance","Not at all important","Moderately Important","Very Important","Not at all important","Not at all important","I used both (1) and (2)","",32,"Caucasian/White (non-Hispanic)","","4-year college degree","I am unemployed,Other","Homemaker","Republican","","Strong","","Conservative","","Strong conservative","","Thanks!",40.4932485205338
248,"2020-10-26 13:13:02","R_eP9d1G7SVDcGrC1","Yes","Yes","Yes",NA,NA,NA,31,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Not at all important","Slightly important","Not at all important","Slightly important","Moderately Important","Slightly important","Not at all important","I compared the two persons attribute by attribute","",30,"Caucasian/White (non-Hispanic)","","2-year college degree","I work full time","","Independent","","","Closer to the Democratic Party","Moderate","","","Closer to liberals","",27.6443405583604
458,"2020-10-26 13:14:26","R_3m8h22kBVO64oTw","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Very Important","Not at all important","Extremely Important","Not at all important","Moderately Important","Very Important","Not at all important","Not at all important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",55,"Caucasian/White (non-Hispanic)","","2-year college degree","I work full time","","Democrat","Not strong","","","Liberal","Strong liberal","","","",35.3076170928096
705,"2020-10-26 13:19:21","R_9ZHGq415N3B3pip","Yes","Yes","Yes",NA,NA,NA,51,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Slightly important","Neutral","Slightly important","Slightly important","Very Important","Moderately Important","Moderately Important","Neutral","I compared the two persons attribute by attribute","",72,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I am retired","","Democrat","Strong","","","Liberal","Not very strong liberal","","","",34.3492745974449
309,"2020-10-26 13:55:48","R_2BkDaht7gwGE66d","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Neutral","Moderately Important","Low importance","Not at all important","Moderately Important","Neutral","Moderately Important","Neutral","I compared the two persons attribute by attribute","",36,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Democrat","Strong","","","Liberal","Strong liberal","","","",39.781747100824
1065,"2020-10-26 14:08:34","R_1hEZIF26btaImTB","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Extremely Important","Extremely Important","Extremely Important","Not at all important","Extremely Important","Extremely Important","Neutral","Extremely Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",43,"Black or African American (non-Hispanic)","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I work full time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",17.2132678379336
264,"2020-10-26 14:58:55","R_4OBepaslgA1cupX","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Extremely Important","Not at all important","Moderately Important","Not at all important","Slightly important","Moderately Important","Low importance","Not at all important","I compared the two persons attribute by attribute","",28,"Caucasian/White (non-Hispanic)","","Some college, but no degree","Other","Self-employed","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",17.6447882460535
257,"2020-10-26 15:47:21","R_2sZ2LNzDoqZI7Yl","Yes","Yes","Yes",NA,NA,NA,76,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Very Important","Very Important","Very Important","Very Important","Moderately Important","Moderately Important","Moderately Important","Moderately Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",29,"Caucasian/White (non-Hispanic)","","4-year college degree","I am a full time student","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",50.4536277799526
306,"2020-10-26 16:01:11","R_3IXixdlLwIlAwzC","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Extremely Important","Not at all important","Not at all important","Not at all important","Low importance","Extremely Important","Not at all important","Not at all important","I compared the two persons attribute by attribute","",26,"Caucasian/White (non-Hispanic)","","4-year college degree","Other","Full time MTurk","Democrat","Strong","","","Liberal","Strong liberal","","","",34.8011437202341
561,"2020-10-26 16:31:14","R_6ssbeKVxhcnZsdj","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Neutral","Low importance","Moderately Important","Slightly important","Slightly important","Moderately Important","Moderately Important","Not at all important","I compared the two persons attribute by attribute","",36,"Asian/Pacific Islanders","","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","I work full time","","Democrat","Strong","","","Liberal","Not very strong liberal","","","",50.9652044502937
311,"2020-10-26 18:41:17","R_0SQZGShACCzbPRT","Yes","Yes","Yes",NA,NA,NA,70,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Slightly important","Not at all important","Extremely Important","Not at all important","Not at all important","Very Important","Not at all important","Not at all important","I started with (2) and switched to (1)","",34,"Caucasian/White (non-Hispanic)","","High school graduate","I am a full time student","","Independent","","","Closer to the Democratic Party","Liberal","Not very strong liberal","","","",36.8005469880999
511,"2020-10-26 18:41:22","R_Qicmczrh8EBA8Yp","Yes","Yes","Yes",NA,NA,NA,61,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Not at all important","Moderately Important","Not at all important","Not at all important","Moderately Important","Not at all important","Not at all important","I compared the two persons attribute by attribute","",61,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I am retired","","Democrat","Strong","","","Liberal","Strong liberal","","","",44.8785073300541
419,"2020-10-26 19:54:03","R_3oHioHj1jYIFGjE","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Extremely Important","Not at all important","Not at all important","Not at all important","Not at all important","Extremely Important","Not at all important","Not at all important","I compared the two persons attribute by attribute","",35,"Caucasian/White (non-Hispanic)","","4-year college degree","I work full time","","Republican","","Not strong","","Moderate","","","Closer to conservatives","thank you",16.0032377913602
250,"2020-10-26 21:28:37","R_3FKC3w2lc0SjbKj","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Mental or Physical Health Issues","Neutral","Neutral","Very Important","Neutral","Slightly important","Slightly important","Neutral","Low importance","I compared the two persons attribute by attribute","",33,"Caucasian/White (non-Hispanic),Latino or Hispanic","","2-year college degree","I work full time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","none",49.0266414878486
335,"2020-10-30 09:38:54","R_2v2ieCfd8WTWiVV","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Neutral","Not at all important","Neutral","Not at all important","Moderately Important","Neutral","Very Important","Not at all important","I followed a different strategy (please explain below):","i looked at criminal history, age, then occupation",29,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Independent","","","Closer to the Republican Party","Moderate","","","Closer to conservatives","i never let a banker go, and violent criminals can suck it",29.2513322791204
334,"2020-10-30 09:38:59","R_1IKwouPXZ70BkQb","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Mental or Physical Health Issues","Very Important","Not at all important","Low importance","Slightly important","Not at all important","Low importance","Neutral","Extremely Important","I compared the two persons attribute by attribute","",32,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I am unemployed","","Democrat","Strong","","","None of the above","","","Closer to liberals","",21.4324228741304
327,"2020-10-30 09:39:05","R_2VdzP1XSs9qrsbX","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Moderately Important","Not at all important","Not at all important","Not at all important","Moderately Important","Moderately Important","Not at all important","Low importance","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",45,"Caucasian/White (non-Hispanic)","","Some college, but no degree","I work full time","","Independent","","","Closer to the Democratic Party","Liberal","Strong liberal","","","",16.2737145317424
256,"2020-10-30 09:39:17","R_2ANmrPvmprHok8e","Yes","Yes","Yes",NA,NA,NA,100,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Moderately Important","Not at all important","Not at all important","Low importance","Very Important","Moderately Important","Low importance","Neutral","I compared the two persons attribute by attribute","",31,"Black or African American (non-Hispanic)","","4-year college degree","I am a full time student","","Democrat","Strong","","","Liberal","Strong liberal","","","",42.7083387288052
313,"2020-10-30 09:39:25","R_erMfmuha3Tl5PDH","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History","Moderately Important","Low importance","Moderately Important","Not at all important","Slightly important","Slightly important","Very Important","Very Important","I used both (1) and (2)","",38,"Caucasian/White (non-Hispanic)","","4-year college degree","I work part time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","",27.3942810251364
372,"2020-10-30 09:43:06","R_SZ5kKR3nSKLwVXj","Yes","Yes","Yes",NA,NA,NA,NA,70,"Person B","a job","Criminal History","Very Important","Very Important","Very Important","Moderately Important","Very Important","Very Important","Moderately Important","Very Important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",27,"Caucasian/White (non-Hispanic)","","High school graduate","I work full time","","Republican","","Strong","","Moderate","","","Closer to conservatives","nice",21.729796053546
615,"2020-10-30 09:44:01","R_1P5Alj2heOogpDS","Yes","Yes","Yes",NA,NA,NA,100,70,"Person B","a job","Age,Mental or Physical Health Issues,Criminal History,National Origin","Moderately Important","Not at all important","Not at all important","Not at all important","Low importance","Extremely Important","Not at all important","Not at all important","I examined all attributes associated with each person first to form my impression of him/her before comparing the two persons to make a decision","",23,"Black or African American (non-Hispanic),Latino or Hispanic","","4-year college degree","I work full time","","Democrat","Not strong","","","Liberal","Not very strong liberal","","","The survey was straightforward and easy to follow",40.1955772089296
