Upbringing,Age,Criminal History,Occupation,Children,Health Issues,Race,Political Affiliation,answer,slider,responseid,question_index,condition_service_question,condition_slider
Grew up middle class,20,Prior history of non-violent crime,janitor,Two kids,Generally Healthy,Black,Republican,1,,R_erMfmuha3Tl5PDH,1,13,1
Grew up middle class,20,Prior history of non-violent crime,doctor,Two kids,Mental health issues,Black,Republican,0,,R_erMfmuha3Tl5PDH,1,13,1
Grew up middle class,70,None,janitor,Two kids,Diabetic,White,Democrat,1,,R_SZ5kKR3nSKLwVXj,1,8,1
Grew up middle class,20,Prior history of violent crime,artist,No kids,Generally Healthy,Asian,Democrat,0,,R_SZ5kKR3nSKLwVXj,1,8,1
Grew up poor,20,None,janitor,Two kids,Physically disabled,Hispanic,Democrat,1,6,R_1P5Alj2heOogpDS,1,6,2
Grew up middle class,20,None,nurse,No kids,Mental health issues,Black,None specified,0,6,R_1P5Alj2heOogpDS,1,6,2
Grew up middle class,40,Prior history of violent crime,scientist,No kids,Physically disabled,Asian,None specified,0,,R_D8eceq1IK2pGpmV,1,4,1
Grew up middle class,70,None,scientist,Two kids,Generally Healthy,Black,Republican,1,,R_D8eceq1IK2pGpmV,1,4,1
Grew up upper class,40,Prior history of violent crime,unemployed,Two kids,Diabetic,Asian,Republican,1,7,R_1MLrPh9WDhastw6,1,15,2
Grew up middle class,20,Prior history of non-violent crime,nurse,Two kids,Diabetic,Hispanic,Democrat,0,7,R_1MLrPh9WDhastw6,1,15,2
Grew up middle class,40,None,artist,No kids,Diabetic,Asian,Republican,0,,R_5zPt7948OpYWMmd,1,8,1
Grew up poor,40,Prior history of violent crime,firefighter,No kids,Physically disabled,Black,None specified,1,,R_5zPt7948OpYWMmd,1,8,1
Grew up upper class,70,Prior history of non-violent crime,nurse,No kids,Generally Healthy,Hispanic,Republican,0,,R_2AHbpDO4UCNmH6J,1,3,1
Grew up upper class,20,Prior history of violent crime,Instacart shopper,No kids,Physically disabled,Hispanic,None specified,1,,R_2AHbpDO4UCNmH6J,1,3,1
Grew up upper class,40,Prior history of non-violent crime,doctor,No kids,Diabetic,Hispanic,Republican,0,5,R_TonkIpcxk9m2B4R,1,12,2
Grew up middle class,70,None,nurse,Two kids,Physically disabled,Asian,None specified,1,5,R_TonkIpcxk9m2B4R,1,12,2
Grew up poor,40,Prior history of non-violent crime,firefighter,Two kids,Diabetic,Black,Democrat,0,,R_1lcmKdNGN5ISLOz,1,9,1
Grew up middle class,70,Prior history of non-violent crime,firefighter,Two kids,Physically disabled,Asian,Democrat,1,,R_1lcmKdNGN5ISLOz,1,9,1
Grew up middle class,20,Prior history of non-violent crime,Instacart shopper,Two kids,Mental health issues,Hispanic,None specified,0,6,R_8qCGdwEPFmToBln,1,11,2
Grew up middle class,20,Prior history of violent crime,unemployed,Two kids,Generally Healthy,Black,None specified,1,6,R_8qCGdwEPFmToBln,1,11,2
Grew up poor,40,Prior history of non-violent crime,unemployed,Two kids,Generally Healthy,Hispanic,Democrat,1,,R_3RxeVI7iePw1ONL,1,8,1
Grew up upper class,70,Prior history of non-violent crime,banker,Two kids,Generally Healthy,White,None specified,0,,R_3RxeVI7iePw1ONL,1,8,1
Grew up poor,20,Prior history of non-violent crime,firefighter,Two kids,Generally Healthy,Asian,Republican,1,,R_25tMUmZjELvpIIf,1,7,1
Grew up middle class,70,None,scientist,Two kids,Physically disabled,Hispanic,Republican,0,,R_25tMUmZjELvpIIf,1,7,1
Grew up upper class,40,None,firefighter,No kids,Generally Healthy,White,Democrat,1,,R_1JK5MrIez6qpt38,1,5,1
Grew up poor,20,None,firefighter,No kids,Diabetic,White,Democrat,0,,R_1JK5MrIez6qpt38,1,5,1
Grew up upper class,70,Prior history of non-violent crime,firefighter,No kids,Mental health issues,Asian,None specified,0,,R_x9ocqe6SlmVsGYh,1,1,1
Grew up upper class,20,Prior history of non-violent crime,Instacart shopper,Two kids,Generally Healthy,White,Democrat,1,,R_x9ocqe6SlmVsGYh,1,1,1
Grew up middle class,20,None,doctor,No kids,Physically disabled,Asian,None specified,0,,R_1rMOpgtz4oaYICA,1,5,1
Grew up poor,20,Prior history of violent crime,nurse,No kids,Diabetic,Black,Republican,1,,R_1rMOpgtz4oaYICA,1,5,1
Grew up middle class,20,Prior history of violent crime,firefighter,No kids,Diabetic,Black,Republican,1,,R_BwY1SImhVpYhC01,1,5,1
Grew up upper class,20,Prior history of non-violent crime,banker,Two kids,Physically disabled,Black,Republican,0,,R_BwY1SImhVpYhC01,1,5,1
Grew up middle class,20,Prior history of non-violent crime,scientist,Two kids,Generally Healthy,Black,Republican,0,7,R_NVxCWKBi6u0tKZr,1,4,2
Grew up upper class,40,Prior history of violent crime,unemployed,Two kids,Diabetic,Asian,Democrat,1,7,R_NVxCWKBi6u0tKZr,1,4,2
Grew up upper class,70,Prior history of non-violent crime,nurse,Two kids,Diabetic,Asian,None specified,0,5,R_3PX0cpBrpMkFP5q,1,4,2
Grew up middle class,40,Prior history of non-violent crime,Instacart shopper,No kids,Mental health issues,Hispanic,Republican,1,5,R_3PX0cpBrpMkFP5q,1,4,2
Grew up poor,40,Prior history of non-violent crime,nurse,Two kids,Mental health issues,White,Republican,0,4,R_R9cDsEoSJlEpRKx,1,9,2
Grew up poor,40,None,firefighter,Two kids,Generally Healthy,Asian,Democrat,1,4,R_R9cDsEoSJlEpRKx,1,9,2
Grew up middle class,20,Prior history of violent crime,nurse,No kids,Diabetic,Hispanic,Republican,0,6,R_1mJeKeqKQ4JKOjD,1,4,2
Grew up middle class,40,Prior history of violent crime,nurse,No kids,Mental health issues,Black,Democrat,1,6,R_1mJeKeqKQ4JKOjD,1,4,2
Grew up poor,70,Prior history of non-violent crime,janitor,No kids,Diabetic,Asian,Democrat,0,,R_1CqLEaViyKrs1No,1,7,1
Grew up upper class,40,Prior history of non-violent crime,Instacart shopper,No kids,Mental health issues,Asian,Republican,1,,R_1CqLEaViyKrs1No,1,7,1
Grew up poor,40,None,doctor,Two kids,Mental health issues,Hispanic,Democrat,1,6,R_3O1SAXC1PgHYwjd,1,8,2
Grew up upper class,20,Prior history of violent crime,nurse,No kids,Mental health issues,Black,Republican,0,6,R_3O1SAXC1PgHYwjd,1,8,2
Grew up upper class,20,Prior history of non-violent crime,firefighter,No kids,Mental health issues,Hispanic,None specified,1,,R_32SlmN93yfoePtk,1,4,1
Grew up upper class,40,None,artist,No kids,Mental health issues,Asian,Democrat,0,,R_32SlmN93yfoePtk,1,4,1
Grew up poor,70,Prior history of violent crime,firefighter,No kids,Generally Healthy,Black,Republican,0,,R_1QrMAcXkMT4od74,1,1,1
Grew up poor,70,None,nurse,No kids,Physically disabled,Asian,Republican,1,,R_1QrMAcXkMT4od74,1,1,1
Grew up upper class,20,Prior history of violent crime,unemployed,Two kids,Physically disabled,White,Republican,0,6,R_1g1uEnvwVayIghO,1,16,2
Grew up poor,20,None,banker,Two kids,Physically disabled,Black,Republican,1,6,R_1g1uEnvwVayIghO,1,16,2
Grew up middle class,70,Prior history of violent crime,scientist,Two kids,Diabetic,Black,Republican,0,6,R_2TsHA5yRVVcgAHY,1,13,2
Grew up upper class,70,Prior history of non-violent crime,artist,No kids,Physically disabled,Asian,Democrat,1,6,R_2TsHA5yRVVcgAHY,1,13,2
Grew up middle class,40,None,artist,Two kids,Mental health issues,Hispanic,Republican,0,5,R_2uEswEfRQZqqs7r,1,11,2
Grew up middle class,40,Prior history of violent crime,banker,Two kids,Diabetic,Asian,Republican,1,5,R_2uEswEfRQZqqs7r,1,11,2
Grew up poor,40,Prior history of violent crime,janitor,Two kids,Mental health issues,Asian,None specified,1,,R_1IzKSdr5K5lmrjw,1,15,1
Grew up poor,70,Prior history of non-violent crime,unemployed,Two kids,Generally Healthy,White,None specified,0,,R_1IzKSdr5K5lmrjw,1,15,1
Grew up poor,20,Prior history of violent crime,scientist,Two kids,Generally Healthy,Black,Republican,1,6,R_3KInLL0Agvb6VOI,1,12,2
Grew up poor,20,Prior history of violent crime,firefighter,No kids,Diabetic,Asian,Democrat,0,6,R_3KInLL0Agvb6VOI,1,12,2
Grew up upper class,70,None,doctor,Two kids,Diabetic,Black,Republican,1,,R_1LAneAZqXvUkJgJ,1,6,1
Grew up poor,20,None,firefighter,Two kids,Diabetic,Asian,None specified,0,,R_1LAneAZqXvUkJgJ,1,6,1
Grew up poor,70,Prior history of non-violent crime,nurse,No kids,Diabetic,Black,None specified,0,5,R_2ysjztjbKzMGUJO,1,11,2
Grew up poor,70,Prior history of non-violent crime,Instacart shopper,No kids,Diabetic,Hispanic,None specified,1,5,R_2ysjztjbKzMGUJO,1,11,2
Grew up upper class,40,Prior history of non-violent crime,janitor,No kids,Generally Healthy,White,Democrat,1,6,R_3EhgdJ11tOcYRFl,1,12,2
Grew up upper class,70,None,Instacart shopper,No kids,Physically disabled,Hispanic,None specified,0,6,R_3EhgdJ11tOcYRFl,1,12,2
Grew up upper class,40,None,scientist,Two kids,Diabetic,White,Republican,0,2,R_3ptcntyGWMxfwB4,1,5,2
Grew up poor,40,None,nurse,Two kids,Physically disabled,White,Republican,1,2,R_3ptcntyGWMxfwB4,1,5,2
Grew up poor,40,Prior history of violent crime,firefighter,No kids,Mental health issues,Asian,Democrat,1,,R_1jB1tGxyN1uZt5P,1,15,1
Grew up middle class,70,None,artist,No kids,Mental health issues,Black,Republican,0,,R_1jB1tGxyN1uZt5P,1,15,1
Grew up middle class,20,None,unemployed,Two kids,Physically disabled,Black,Republican,0,5,R_3240L2LFM8UuLQS,1,12,2
Grew up upper class,40,None,scientist,No kids,Generally Healthy,White,None specified,1,5,R_3240L2LFM8UuLQS,1,12,2
Grew up middle class,20,None,Instacart shopper,No kids,Physically disabled,Asian,None specified,1,6,R_SPfFRj0AbBX8xP3,1,7,2
Grew up middle class,20,Prior history of non-violent crime,firefighter,Two kids,Generally Healthy,Hispanic,Democrat,0,6,R_SPfFRj0AbBX8xP3,1,7,2
Grew up upper class,70,None,scientist,Two kids,Mental health issues,Asian,Democrat,0,,R_22ocvuobUTjT6ZV,1,8,1
Grew up upper class,40,Prior history of violent crime,banker,No kids,Mental health issues,Black,Republican,1,,R_22ocvuobUTjT6ZV,1,8,1
Grew up upper class,20,Prior history of non-violent crime,scientist,No kids,Diabetic,White,Republican,0,,R_2zN21OS1UoUJdl2,1,5,1
Grew up upper class,40,None,nurse,No kids,Diabetic,White,Democrat,1,,R_2zN21OS1UoUJdl2,1,5,1
Grew up upper class,20,Prior history of non-violent crime,unemployed,No kids,Diabetic,Asian,None specified,0,,R_33qdGVcxHVQGEKF,1,15,1
Grew up poor,40,Prior history of violent crime,scientist,No kids,Diabetic,Hispanic,None specified,1,,R_33qdGVcxHVQGEKF,1,15,1
Grew up poor,40,Prior history of violent crime,banker,Two kids,Diabetic,White,Republican,0,,R_ZmnfayWnRMKYcHn,1,10,1
Grew up poor,20,Prior history of violent crime,nurse,No kids,Physically disabled,Black,Republican,1,,R_ZmnfayWnRMKYcHn,1,10,1
Grew up upper class,20,None,janitor,No kids,Physically disabled,Black,Republican,0,6,R_2aKOjFpLKWrQxZc,1,11,2
Grew up poor,20,None,artist,No kids,Physically disabled,White,None specified,1,6,R_2aKOjFpLKWrQxZc,1,11,2
Grew up poor,70,None,Instacart shopper,Two kids,Diabetic,Hispanic,Democrat,1,6,R_1rvmCptAO0kzjpA,1,10,2
Grew up middle class,20,Prior history of non-violent crime,doctor,Two kids,Diabetic,White,Republican,0,6,R_1rvmCptAO0kzjpA,1,10,2
Grew up middle class,20,None,artist,No kids,Mental health issues,White,None specified,1,,R_3E41dxkCktYSZRT,1,8,1
Grew up upper class,20,Prior history of non-violent crime,janitor,Two kids,Generally Healthy,Black,Democrat,0,,R_3E41dxkCktYSZRT,1,8,1
Grew up middle class,70,None,Instacart shopper,No kids,Generally Healthy,Black,Republican,1,,R_1CHNX89iVDJTxEM,1,6,1
Grew up upper class,40,Prior history of violent crime,unemployed,No kids,Generally Healthy,Hispanic,Democrat,0,,R_1CHNX89iVDJTxEM,1,6,1
Grew up middle class,40,Prior history of non-violent crime,unemployed,Two kids,Generally Healthy,White,None specified,0,,R_zUvaHD5TDPPqMmt,1,7,1
Grew up upper class,40,Prior history of violent crime,Instacart shopper,No kids,Mental health issues,Asian,Republican,1,,R_zUvaHD5TDPPqMmt,1,7,1
Grew up poor,70,Prior history of non-violent crime,unemployed,No kids,Mental health issues,Black,Republican,1,4,R_3gTNistVRfHiCnK,1,13,2
Grew up poor,20,Prior history of violent crime,Instacart shopper,Two kids,Physically disabled,White,Republican,0,4,R_3gTNistVRfHiCnK,1,13,2
Grew up upper class,70,Prior history of violent crime,unemployed,No kids,Generally Healthy,White,Republican,1,7,R_2VdmFjWTZO1Ivpq,1,4,2
Grew up poor,40,None,scientist,Two kids,Physically disabled,Black,Democrat,0,7,R_2VdmFjWTZO1Ivpq,1,4,2
Grew up upper class,40,None,nurse,No kids,Generally Healthy,Asian,None specified,0,5,R_2xyMOGMmMEYaf5j,1,4,2
Grew up upper class,20,None,artist,No kids,Diabetic,Asian,None specified,1,5,R_2xyMOGMmMEYaf5j,1,4,2
Grew up poor,70,Prior history of non-violent crime,unemployed,Two kids,Mental health issues,White,Democrat,1,,R_295qzwdJVHec7pB,1,3,1
